cluster	donor_id	gene_name	expression
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	ACTA2	2.9324653
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	AGTR1	0.27991655
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	ACTA2	1.6775618
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	AGTR1	0.6502036
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	ACTA2	1.9153246
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	AGTR1	0.46716362
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008	ACTA2	2.9440534
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008	AGTR1	2.2767189
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071	ACTA2	1.6178313
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD071	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	ACTA2	2.8217342
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	AGTR1	1.2168807
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD103	ACTA2	3.3819327
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD103	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	ACTA2	1.8462262
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106	ACTA2	2.5596147
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD106	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD107	ACTA2	2.6213589
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD107	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	ACTA2	0.70631737
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	ACTA2	1.3523519
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	AGTR1	1.0335724
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	ACTA2	1.8521353
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	AGTR1	0.9357212
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69	ACTA2	2.9050486
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69	AGTR1	1.5181869
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	ACTA2	3.125955
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	AGTR1	1.2862488
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	AGTR1	1.5493708
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	ACTA2	2.632022
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	AGTR1	0.46131176
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	ACTA2	0.09042283
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	AGTR1	0.9031657
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	ACTA2	0.78104436
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	AGTR1	1.0647104
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	ACTA2	2.6574662
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	AGTR1	2.4976897
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	ACTA2	0.8062314
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	AGTR1	0.86274105
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	ACTA2	1.5223503
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	AGTR1	1.06452
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	ACTA2	1.1153961
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	AGTR1	1.2620074
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_2	AGTR1	2.6186166
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	ACTA2	1.2700716
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	AGTR1	1.2179865
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	ACTA2	2.9198163
0	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	AGTR1	0.88909537
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	ACTA2	2.575777
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	ACTA2	1.7758474
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747298C	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	ACTA2	2.7708662
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	ACTA2	2.3067088
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747390C	AGTR1	1.4347243
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	ACTA2	2.363081
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	AGTR1	1.0911914
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	ACTA2	2.295011
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	AGTR1	0.4843315
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005	ACTA2	2.7849288
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007	ACTA2	2.9548898
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0007	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008	ACTA2	2.4495354
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0008	AGTR1	1.9004593
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009	ACTA2	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009	AGTR1	1.9551474
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD073	ACTA2	2.1412535
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD073	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	ACTA2	2.0102792
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	AGTR1	2.1858237
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	ACTA2	2.5305037
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	AGTR1	1.3056368
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	ACTA2	2.5823975
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	AGTR1	1.3465312
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	ACTA2	2.0569289
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	ACTA2	2.2951365
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	AGTR1	1.4772855
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69	ACTA2	3.02143
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	ACTA2	2.2815285
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	AGTR1	1.1807017
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	ACTA2	2.6325717
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	AGTR1	0.52792376
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	ACTA2	1.5519637
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	AGTR1	1.0706568
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	ACTA2	1.9563295
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	AGTR1	1.7352766
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	ACTA2	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	ACTA2	2.0850103
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	AGTR1	1.5955536
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	ACTA2	2.1216738
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	AGTR1	1.3312923
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	ACTA2	1.4293665
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	AGTR1	1.4231948
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	ACTA2	2.6781144
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	AGTR1	0.0
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	ACTA2	2.8483443
1	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	AGTR1	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	ACTA2	1.5259039
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C	AGTR1	0.51303756
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02	ACTA2	2.411017
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_02	AGTR1	2.2496936
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	ACTA2	2.0321772
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	AGTR1	1.0044081
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	ACTA2	2.2232249
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	AGTR1	1.3743591
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	ACTA2	2.4251852
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104	AGTR1	0.900644
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	ACTA2	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66	AGTR1	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	ACTA2	1.6715008
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	AGTR1	0.99854946
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	ACTA2	1.6472347
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	AGTR1	1.4987636
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	ACTA2	3.276802
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	AGTR1	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	ACTA2	0.7326973
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85	AGTR1	2.4843652
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	ACTA2	2.681816
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92	AGTR1	0.71646047
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	ACTA2	1.282233
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	AGTR1	0.54050285
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	ACTA2	0.9260412
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	AGTR1	0.5135635
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	ACTA2	2.0430713
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	AGTR1	0.8557397
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	ACTA2	1.7329133
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	AGTR1	1.029342
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	ACTA2	1.256882
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	AGTR1	1.3263491
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	ACTA2	2.9484854
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4	AGTR1	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5	ACTA2	0.0
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_5	AGTR1	2.2350194
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	ACTA2	3.3495274
2	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6	AGTR1	2.294587
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	ACTA2	2.2668653
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01	AGTR1	0.9928786
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	ACTA2	2.7474883
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02	AGTR1	1.4041389
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	ACTA2	0.9277321
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101	AGTR1	0.9277321
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	ACTA2	2.44448
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67	AGTR1	2.3327422
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	ACTA2	1.8456417
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68	AGTR1	2.2244277
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	ACTA2	3.1281009
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70	AGTR1	2.4498618
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	ACTA2	0.584611
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94	AGTR1	1.0468099
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	ACTA2	0.0
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95	AGTR1	2.3117466
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	ACTA2	2.5854535
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98	AGTR1	2.095818
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	ACTA2	2.8452783
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1	AGTR1	0.0
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	ACTA2	2.076359
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2	AGTR1	1.5005866
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	ACTA2	1.526988
3	homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3	AGTR1	1.3131762
